,time,position,velocity
0,0.0,0.0,0.0
1,0.1,0.05,0.5
2,0.2,0.15300000000000002,1.03
3,0.3,0.31599999999999995,1.63
4,0.4,0.539,2.23
5,0.5,0.822,2.83
6,0.6,1.1549999999999998,3.33
7,0.7,1.5379999999999998,3.83
8,0.8,1.971,4.33
9,0.9,2.449,4.78
10,1.0,2.9719999999999995,5.23
11,1.1,3.544,5.72
12,1.2,4.161999999999999,6.18
13,1.3,4.8069999999999995,6.45
14,1.4,5.486999999999998,6.8
15,1.5,6.197999999999999,7.11
16,1.6,6.949999999999999,7.52
17,1.7,7.745999999999999,7.96
18,1.8,8.58,8.34
19,1.9,9.447,8.67
20,2.0,10.34,8.93
21,2.1,11.26,9.2
22,2.2,12.21,9.5
23,2.3,13.183999999999997,9.74
24,2.4,14.179999999999998,9.96
25,2.5,15.184,10.04
26,2.6,16.195,10.11
27,2.7,17.214000000000002,10.19
28,2.8,18.255,10.41
29,2.9,19.319,10.64
30,3.0,20.405,10.86
31,3.1,21.496000000000002,10.91
32,3.2,22.592000000000002,10.96
33,3.3,23.692999999999998,11.01
34,3.4,24.814,11.21
35,3.5,25.941000000000003,11.27
36,3.6,27.072000000000003,11.31
37,3.7,28.209000000000003,11.37
38,3.8,29.349999999999998,11.41
39,3.9,30.494999999999997,11.45
40,4.0,31.642999999999997,11.48
41,4.1,32.79299999999999,11.5
42,4.2,33.946,11.53
43,4.3,35.102999999999994,11.57
44,4.4,36.263,11.6
45,4.5,37.42699999999999,11.64
46,4.6,38.59599999999999,11.69
47,4.7,39.767999999999994,11.72
48,4.8,40.94399999999999,11.76
49,4.9,42.123999999999995,11.8
50,5.0,43.30799999999999,11.84
51,5.1,44.493999999999986,11.86
52,5.2,45.68299999999999,11.89
53,5.3,46.87299999999999,11.9
54,5.4,48.065999999999995,11.93
55,5.5,49.26199999999999,11.96
56,5.6,50.46099999999999,11.99
57,5.7,51.663,12.02
58,5.8,52.86699999999999,12.04
59,5.9,54.074999999999996,12.08
60,6.0,55.28699999999999,12.12
61,6.1,56.50049999999999,12.135
62,6.2,57.71549999999999,12.15
63,6.3,58.93249999999999,12.17
64,6.4,60.1515,12.19
65,6.5,61.3715,12.2
66,6.6,62.593999999999994,12.225
67,6.7,63.8185,12.245
68,6.8,65.045,12.265
69,6.9,66.27350000000001,12.285
70,7.0,67.5035,12.3
71,7.1,68.7355,12.32
72,7.2,69.96950000000001,12.34
73,7.3,71.20450000000001,12.35
74,7.4,72.43850000000002,12.34
